Creation Time: 2023_7_10-22-11-3
22-11-3 | [INFO] TraderPlusCore - Started !
22-11-22 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\ID_8\Teddy's Optics.json
22-11-22 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\ID_8\Teddy's Attachments.json
22-11-22 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\ID_8\Teddy's Halloween.json
22-11-22 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\ID_8\Teddy's Covid.json
22-11-22 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\ID_8\Teddy's Grenades.json
22-11-22 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\ID_8\Teddy's Cosmetics.json
22-11-22 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\ID_8\Money Exchange.json
22-11-22 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\ID_9\Stinky Pete's Stash.json
22-11-22 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusDatabase\ID_9\Money Exchange.json
22-11-22 | [INFO] SetTradersSpawner: Started
22-11-22 | [INFO] obj created: SurvivorF_Helga
22-11-22 | [INFO] TraderPlayer created and added!: 
22-11-22 | [INFO] obj created: SurvivorM_Jose
22-11-22 | [INFO] TraderPlayer created and added!: 
22-11-22 | [INFO] obj created: SurvivorM_Taiki
22-11-22 | [INFO] TraderPlayer created and added!: 
22-11-22 | [INFO] obj created: SurvivorF_Eva
22-11-22 | [INFO] TraderPlayer created and added!: 
22-11-22 | [INFO] obj created: SurvivorM_Seth
22-11-22 | [INFO] TraderPlayer created and added!: 
22-11-22 | [INFO] obj created: SurvivorM_Seth
22-11-22 | [INFO] TraderPlayer created and added!: 
22-11-22 | [INFO] obj created: SurvivorF_Eva
22-11-22 | [INFO] TraderPlayer created and added!: 
22-11-22 | [INFO] obj created: SurvivorM_Rolf
22-11-22 | [INFO] TraderPlayer created and added!: 
22-11-22 | [INFO] obj created: SurvivorM_Seth
22-11-22 | [INFO] TraderPlayer created and added!: 
22-11-22 | [INFO] obj created: SurvivorM_Seth
22-11-22 | [INFO] TraderPlayer created and added!: 
22-11-22 | [INFO] SetTradersSpawner: Ended
22-11-22 | [INFO] SetObjectSpawner: Started
22-11-22 | [INFO] SetObjectSpawner: Ended
22-11-22 | [INFO] DefaultTraderStock - Started
22-12-45 | [INFO] GetSafeStatut
22-12-48 | [INFO] GetSafeStatut
22-14-8 | [INFO] GetSafeStatut
22-15-2 | [INFO] GetSafeStatut
22-16-19 | [INFO] InsuranceRequestHandler
22-16-19 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusGarageDatabase\Garage_112746320.json
22-16-23 | [INFO] TraderID: 3 - Customer: Bunker - Category: Holler Good Good - ClassName: CP_TobaccoSeedsPack - Quantity: 0 - Multiplier: 1 - MaxStock: -1 - Health: 0 - Price: 7 - CollateralMoney: 0 - TradeMode:Sell
22-16-23 | [INFO] Transaction Sell Succeeded:Bunker product:CP_TobaccoSeedsPack quantity:0 health:0 price:7
22-17-42 | [INFO] InsuranceRequestHandler
